CustomerID,Age,Gender,City,AnnualIncome,SpendingScore,ProductCategory,Quantity,Price,Rating,DaysSinceLastPurchase,TotalSpend
CUST1021,32,Female,Mumbai,63329.0,68.1,Grocery,4,311.18,3.4,32,1244.72
CUST1022,35,Male,Mumbai,85170.0,44.4,Electronics,4,12058.82,4.0,26,48235.28
CUST1023,18,Male,Mumbai,65930.0,20.0,Electronics,6,7435.31,4.8,23,44611.86
CUST1024,28,Male,Jaipur,72950.0,43.1,Sports,4,1798.45,3.2,56,7193.8
CUST1025,36,Male,Pune,80850.0,3.2,Fashion,7,2594.79,3.8,8,18163.53
CUST1026,21,Female,Bengaluru,54570.0,88.8,Sports,2,3231.24,4.8,18,6462.48
CUST1027,39,Male,Delhi,108224.0,1.7,Fashion,5,1480.76,4.8,5,7403.8
CUST1028,27,Female,Jaipur,59448.0,82.8,Fashion,1,1448.65,4.1,27,1448.65
CUST1029,31,Male,Lucknow,41104.0,91.9,Grocery,3,1272.68,5.0,9,3818.04
CUST1030,27,Male,Jaipur,79261.0,28.2,Toys,5,985.27,5.0,12,4926.35
CUST1031,57,Female,Gwalior,,9.6,Toys,3,701.69,2.6,19,2105.07
CUST1032,34,Female,Pune,55801.0,69.5,Fashion,4,847.94,2.4,1,3391.76
CUST1033,22,Male,Gwalior,39461.0,61.0,Fashion,1,1755.96,4.6,3,1755.96
CUST1034,44,Female,Delhi,74665.0,49.9,Electronics,1,16720.51,5.0,35,16720.51
CUST1035,20,Female,Gwalior,52942.0,56.7,Grocery,3,466.04,3.7,17,1398.12
CUST1036,37,Male,Bengaluru,65721.0,23.2,Grocery,6,674.12,3.4,60,4044.72
CUST1037,18,Female,Pune,54160.0,24.3,Books,2,345.86,3.2,36,691.72
CUST1038,19,Female,Gwalior,78538.0,49.0,Toys,2,743.22,2.8,0,1486.44
CUST1039,37,Female,Mumbai,76487.0,36.5,Grocery,3,221.81,4.9,29,665.43
CUST1040,43,Male,Mumbai,70717.0,41.3,Grocery,3,549.07,3.6,3,1647.21
CUST1041,37,Female,Mumbai,74928.0,60.4,Books,2,589.46,4.2,46,1178.92
CUST1042,33,Male,Gwalior,40984.0,96.1,Sports,1,1553.62,2.3,143,1553.62
CUST1043,31,Male,Mumbai,71106.0,46.0,Electronics,4,12254.79,4.8,23,49019.16
CUST1044,18,Male,Indore,87537.0,31.6,Fashion,2,1108.59,4.4,34,2217.18
CUST1045,26,Male,Gwalior,48829.0,77.7,Grocery,2,693.05,2.7,8,1386.1
CUST1046,29,Female,Gwalior,49517.0,43.8,Fashion,2,1375.55,4.1,17,2751.1
CUST1047,47,Female,Mumbai,75703.0,51.2,Electronics,3,8241.73,3.9,58,24725.19
CUST1048,39,Female,Lucknow,58728.0,70.7,Electronics,3,20448.86,3.5,5,61346.58
CUST1049,18,Male,Pune,31044.0,95.2,Home & Kitchen,3,3625.03,1.3,9,10875.09
CUST1050,38,Male,Pune,78684.0,10.0,Fashion,1,1177.63,3.3,18,1177.63
CUST1051,30,Male,Mumbai,34698.0,66.3,Electronics,4,14643.87,4.2,37,58575.48
CUST1052,26,Female,Bengaluru,51949.0,50.4,Fashion,5,1859.73,3.4,14,9298.65
CUST1053,42,Male,Gwalior,76850.0,48.1,Sports,2,2585.88,3.7,79,5171.76
CUST1054,47,Female,Pune,59011.0,69.2,Books,6,203.11,5.0,3,1218.66
CUST1055,46,Female,Lucknow,90113.0,62.6,Grocery,3,8922.03616187375,3.8,14,2692.38
CUST1056,24,Male,Bengaluru,56548.0,53.6,Grocery,2,477.73,2.0,37,955.46
CUST1057,31,Female,Jaipur,71408.0,41.7,Toys,4,693.31,3.7,8,2773.24
CUST1058,38,Male,Indore,62569.0,78.4,Fashion,3,4308.62,4.0,32,12925.86
CUST1059,46,Female,Gwalior,95885.0,36.4,Fashion,2,1692.51,3.2,5,3385.02
CUST1060,29,Female,Jaipur,37603.0,100.0,Fashion,3,1285.23,4.6,2,3855.69
CUST1061,32,Male,Gwalior,82809.0,46.7,Electronics,2,4966.87,2.6,4,9933.74
CUST1062,21,Male,Bengaluru,62050.0,37.3,Fashion,5,2615.28,3.8,80,13076.4
CUST1063,20,Female,Gwalior,62872.0,33.5,Books,4,233.55,2.6,24,934.2
CUST1064,44,Female,Gwalior,48235.0,41.3,Home & Kitchen,4,1673.5,3.6,48,6694.0
CUST1065,51,Male,Mumbai,66852.0,66.2,Grocery,6,525.52,4.5,12,3153.12
CUST1066,34,Female,Delhi,87765.0,59.0,Toys,2,1409.76,3.8,27,2819.52
CUST1067,47,Female,Mumbai,62254.0,91.3,Electronics,4,16349.59,3.7,20,65398.36
CUST1068,39,Female,Bengaluru,70271.0,66.8,Fashion,4,1408.23,3.9,87,5632.92
CUST1069,27,Male,Gwalior,34347.0,100.0,Home & Kitchen,6,2828.11,4.0,41,16968.66
CUST1070,39,Female,Gwalior,81124.0,32.5,Home & Kitchen,3,1966.27,4.5,39,5898.81
CUST1071,53,Female,Bengaluru,59928.0,39.0,Electronics,1,12689.41,4.5,1,12689.41
CUST1072,34,Male,Delhi,64907.0,71.2,Grocery,3,617.86,5.0,24,1853.58
CUST1073,53,Male,Indore,85077.0,47.3,Home & Kitchen,5,3683.26,4.1,19,18416.3
CUST1074,18,Female,Pune,43720.0,74.8,Beauty,2,1325.13,2.4,79,2650.26
CUST1075,44,Male,Jaipur,89141.0,43.5,Home & Kitchen,5,3046.16,4.7,9,15230.8
CUST1076,36,Female,Pune,62488.0,63.6,Fashion,3,1297.61,5.0,9,3892.83
CUST1077,31,Male,Mumbai,,75.6,Electronics,2,16145.41,5.0,16,32290.82
CUST1078,36,Male,Pune,45461.0,94.7,Grocery,3,578.33,5.0,8,1734.99
CUST1079,18,Female,Delhi,20446.0,100.0,Electronics,3,7784.55,3.5,4,23353.65
CUST1080,32,Male,Delhi,70194.0,66.9,Toys,3,680.82,4.1,58,2042.46
CUST1081,39,Male,Indore,49996.0,77.0,Grocery,4,620.63,3.7,25,2482.52
CUST1082,52,Male,Mumbai,96543.0,22.3,Fashion,5,2158.8,3.5,59,10794.0
CUST1083,28,Female,Indore,49251.0,82.0,Sports,3,1858.44,3.8,53,5575.32
CUST1084,25,Male,Jaipur,73331.0,24.0,Grocery,1,369.91,5.0,10,369.91
CUST1085,28,Male,Jaipur,46799.0,89.3,Fashion,3,1534.43,2.5,24,4603.29
CUST1086,45,Female,Lucknow,70326.0,30.0,Sports,3,2092.86,3.0,3,6278.58
CUST1087,38,Male,Mumbai,81016.0,48.1,Books,2,430.87,5.0,74,861.74
CUST1088,28,Female,Delhi,64285.0,41.2,Beauty,2,1300.29,5.0,16,2600.58
CUST1089,41,Male,Bengaluru,68969.0,62.6,Electronics,2,18037.92,,15,36075.84
CUST1090,36,Female,Mumbai,80950.0,42.4,Home & Kitchen,2,1971.13,5.0,11,3942.26
CUST1091,46,Male,Bengaluru,44846.0,43.2,Sports,3,1563.13,4.8,19,4689.39
CUST1092,26,Female,Pune,60193.0,67.2,Electronics,2,7915.53,3.7,9,15831.06
CUST1093,31,Male,Pune,72199.0,39.6,Fashion,3,1983.75,1.7,14,5951.25
CUST1094,30,Male,Mumbai,41912.0,90.1,Books,5,714.08,2.4,48,3570.4
CUST1095,18,Male,Gwalior,52668.0,65.7,Electronics,5,10579.03,3.3,54,52895.15
CUST1096,38,Male,Mumbai,62479.0,64.9,Sports,3,1815.89,4.6,11,5447.67
CUST1097,38,Male,Gwalior,58657.0,43.6,Grocery,3,1078.84,4.6,19,3236.52
CUST1098,35,Male,Jaipur,75993.0,36.4,Grocery,3,734.47,3.5,62,2203.41
CUST1099,32,Female,Delhi,81639.0,34.2,Electronics,1,14287.73,3.7,2,14287.73
CUST1100,18,Male,Gwalior,59104.0,75.9,Sports,2,1242.07,3.9,66,2484.14
CUST1101,29,Male,Gwalior,41611.0,100.0,Fashion,1,1967.88,3.7,7,1967.88
CUST1102,30,Female,Pune,67056.0,39.7,Home & Kitchen,2,1723.98,4.0,34,3447.96
CUST1103,25,Female,Pune,74851.0,67.3,Beauty,2,571.8,3.9,26,1143.6
CUST1104,33,Male,Delhi,65445.0,16.4,Beauty,4,783.43,,24,3133.72
CUST1105,39,Male,Gwalior,90580.0,13.8,Toys,3,632.89,3.7,59,1898.67
CUST1106,57,Male,Mumbai,120639.0,1.0,Home & Kitchen,3,2287.94,3.9,3,6863.82
CUST1107,37,Female,Delhi,83542.0,16.6,Grocery,4,337.15,4.8,13,1348.6
CUST1108,38,Female,Pune,63831.0,28.2,Toys,2,1173.96,3.2,23,2347.92
CUST1109,34,Male,Bengaluru,85880.0,46.5,Home & Kitchen,7,3925.0,4.1,50,27475.0
CUST1110,18,Female,Mumbai,52267.0,62.1,Fashion,3,688.34,4.4,7,2065.02
CUST1111,34,Female,Delhi,65511.0,62.2,Electronics,5,17748.3,3.8,49,88741.5
CUST1112,35,Female,Lucknow,54836.0,76.4,Sports,3,1446.19,2.3,15,4338.57
CUST1113,64,Female,Mumbai,122965.0,14.2,Fashion,1,2113.31,4.8,6,2113.31
CUST1114,32,Male,Pune,51862.0,78.1,Beauty,4,875.69,4.6,43,3502.76
CUST1115,38,Male,Gwalior,83141.0,40.0,Grocery,2,606.95,4.1,3,1213.9
CUST1116,34,Male,Mumbai,67289.0,32.6,Electronics,2,11143.63,3.9,22,22287.26
CUST1117,20,Male,Gwalior,39410.0,95.3,Home & Kitchen,3,4059.84,2.3,2,12179.52
CUST1118,48,Female,Bengaluru,74102.0,37.9,Electronics,2,7308.74,4.6,13,14617.48
CUST1119,44,Female,Lucknow,59139.0,43.6,Grocery,4,765.15,5.0,28,3060.6
CUST1120,44,Male,Mumbai,83077.0,38.1,Home & Kitchen,3,3883.83,2.9,24,11651.49
CUST1121,24,Male,Gwalior,67862.0,37.1,Grocery,5,799.08,5.0,16,3995.4
CUST1122,51,Male,Gwalior,64538.0,48.6,Beauty,1,2280.78,4.9,17,2280.78
CUST1123,18,Female,Mumbai,45342.0,77.7,Sports,3,1618.61,2.9,8,4855.83
CUST1124,42,Male,Gwalior,114899.0,22.1,Sports,3,2933.13,3.5,18,8799.39
CUST1125,61,Male,Gwalior,75147.0,31.5,Electronics,3,11501.42,2.6,92,34504.26
CUST1126,23,Male,Indore,41768.0,65.6,Electronics,4,19653.77,3.8,57,78615.08
CUST1127,28,Male,Mumbai,,66.0,Home & Kitchen,4,2492.32,4.3,5,9969.28
CUST1128,36,Female,Delhi,88038.0,46.3,Toys,1,685.03,2.7,1,685.03
CUST1129,28,Female,Jaipur,50342.0,100.0,Sports,3,3372.24,4.2,81,10116.72
CUST1130,18,Male,Gwalior,62659.0,78.9,Sports,3,1643.0,4.5,22,4929.0
CUST1131,35,Female,Lucknow,106386.0,43.3,Fashion,4,852.46,4.5,23,3409.84
CUST1132,22,Female,Delhi,37348.0,52.9,Grocery,4,487.94,4.3,46,1951.76
CUST1133,40,Female,Jaipur,57256.0,75.7,Grocery,2,768.58,2.8,11,1537.16
CUST1134,23,Male,Bengaluru,67537.0,52.8,Electronics,2,20941.28,3.8,20,41882.56
CUST1135,53,Male,Jaipur,103856.0,14.8,Electronics,3,12545.45,4.2,104,37636.35
CUST1136,25,Male,Lucknow,60591.0,62.3,Toys,2,1355.45,5.0,33,2710.9
CUST1137,31,Female,Delhi,56659.0,79.5,Fashion,3,871.27,3.9,5,2613.81
CUST1138,44,Male,Lucknow,100040.0,36.8,Fashion,6,1256.29,4.3,4,7537.74
CUST1139,20,Male,Mumbai,40706.0,59.4,Electronics,5,10691.79,3.1,7,53458.95
CUST1140,37,Male,Mumbai,54464.0,77.6,Books,4,382.08,2.9,44,1528.32
CUST1141,50,Female,Delhi,107610.0,10.2,Home & Kitchen,5,2585.52,2.7,11,12927.6
CUST1142,18,Male,Bengaluru,66814.0,58.2,Beauty,1,1186.5,3.5,1,1186.5
CUST1143,37,Female,Gwalior,71719.0,45.0,Books,1,334.8,5.0,87,334.8
CUST1144,38,Female,Bengaluru,74128.0,44.6,Fashion,1,1585.78,3.5,6,1585.78
CUST1145,44,Male,Bengaluru,78788.0,58.6,Home & Kitchen,2,2455.28,4.2,0,4910.56
CUST1146,20,Female,Indore,47944.0,50.7,Electronics,3,8285.86,4.4,8,24857.58
CUST1147,19,Male,Jaipur,54860.0,98.9,Electronics,2,11466.62,2.9,8,22933.24
CUST1148,41,Female,Mumbai,36256.0,46.0,Sports,2,1888.31,3.5,16,3776.62
CUST1149,38,Male,Delhi,56493.0,51.8,Sports,1,1872.2,4.5,76,1872.2
CUST1150,38,Female,Delhi,76549.0,53.2,Fashion,4,1519.18,4.3,63,6076.72
CUST1151,39,Female,Gwalior,51205.0,77.3,Fashion,4,1546.1,2.1,18,6184.4
CUST1152,26,Female,Gwalior,58538.0,59.2,Home & Kitchen,3,2103.02,4.4,16,6309.06
CUST1153,37,Female,Delhi,60133.0,58.7,Electronics,3,19965.24,3.4,24,59895.72
CUST1154,38,Male,Delhi,87905.0,44.9,Fashion,2,939.58,3.4,8,1879.16
CUST1155,26,Female,Lucknow,83154.0,37.1,Fashion,1,1124.21,4.3,2,1124.21
CUST1156,57,Female,Bengaluru,75067.0,72.8,Fashion,2,4560.58,5.0,84,9121.16
CUST1157,40,Female,Delhi,61833.0,73.4,Sports,1,1320.42,3.7,6,1320.42
CUST1158,20,Male,Bengaluru,49143.0,84.2,Fashion,5,872.81,5.0,7,4364.05
CUST1159,42,Female,Gwalior,99683.0,10.7,Electronics,3,16098.04,2.6,19,48294.12
CUST1160,23,Female,Mumbai,53197.0,63.8,Grocery,2,261.41,4.0,20,522.82
CUST1161,44,Female,Pune,73501.0,43.6,Books,6,364.07,3.4,1,2184.42
CUST1162,48,Male,Mumbai,54626.0,46.0,Fashion,2,3538.83,4.2,5,7077.66
CUST1163,25,Female,Mumbai,57291.0,68.4,Electronics,3,6468.42,3.6,14,19405.26
CUST1164,46,Male,Lucknow,77671.0,36.0,Fashion,4,678.87,2.7,35,2715.48
CUST1165,39,Female,Jaipur,52375.0,77.7,Beauty,2,494.09,3.1,8,988.18
CUST1166,44,Male,Pune,80014.0,24.5,Home & Kitchen,2,3580.97,2.4,16,7161.94
CUST1167,57,Female,Bengaluru,66828.0,85.3,Sports,3,3136.34,2.7,24,9409.02
CUST1168,32,Female,Pune,77318.0,29.8,Toys,2,651.69,4.3,66,1303.38
CUST1169,25,Male,Delhi,74662.0,52.0,Sports,2,2628.55,3.7,12,5257.1
CUST1170,24,Female,Mumbai,56943.0,76.5,Home & Kitchen,3,4359.65,4.1,4,13078.95
CUST1171,25,Male,Gwalior,55791.0,52.9,Grocery,1,1226.44,5.0,20,1226.44
CUST1172,34,Female,Mumbai,48880.0,84.0,Electronics,4,10873.98,3.6,41,43495.92
CUST1173,39,Female,Bengaluru,57713.0,39.5,Toys,2,318.63,4.5,3,637.26
CUST1174,38,Female,Delhi,66412.0,80.8,Grocery,2,432.07,3.9,17,864.14
CUST1175,44,Female,Lucknow,74540.0,48.4,Electronics,2,10116.67,5.0,1,20233.34
CUST1176,35,Female,Jaipur,58353.0,50.4,Beauty,4,811.45,1.2,1,3245.8
CUST1177,52,Male,Indore,49586.0,62.7,Fashion,4,1391.42,3.3,20,5565.68
CUST1178,31,Male,Bengaluru,51279.0,81.3,Home & Kitchen,2,3911.22,,11,7822.44
CUST1179,67,Female,Jaipur,84459.0,29.7,Home & Kitchen,3,4162.28,3.2,56,12486.84
CUST1180,42,Female,Gwalior,62715.0,44.1,Grocery,3,560.18,4.4,28,1680.54
CUST1181,24,Female,Indore,50746.0,63.2,Sports,3,3103.53,3.8,18,9310.59
CUST1182,22,Female,Gwalior,54021.0,43.4,Fashion,2,1730.71,4.7,16,3461.42
CUST1183,40,Male,Indore,69129.0,85.3,Grocery,3,615.68,2.9,21,1847.04
CUST1184,32,Female,Delhi,67208.0,43.8,Home & Kitchen,3,3592.72,4.1,1,10778.16
CUST1185,43,Male,Jaipur,95334.0,46.5,Beauty,1,926.39,4.3,67,926.39
CUST1186,40,Female,Lucknow,45071.0,75.5,Sports,4,4555.21,4.0,191,18220.84
CUST1187,34,Male,Gwalior,40412.0,57.7,Grocery,2,337.5,4.0,6,675.0
CUST1188,24,Male,Mumbai,40976.0,74.9,Home & Kitchen,5,2034.44,5.0,4,10172.2
CUST1189,18,Male,Lucknow,36239.0,92.9,Electronics,4,11407.82,2.4,5,45631.28
CUST1190,29,Male,Mumbai,43528.0,69.6,Toys,5,953.74,4.0,32,4768.7
CUST1191,45,Female,Jaipur,59030.0,82.0,Grocery,4,996.37,2.8,32,3985.48
CUST1192,37,Male,Bengaluru,54797.0,82.3,Beauty,1,7030.960133200812,4.6,57,891.26
CUST1193,20,Male,Mumbai,50420.0,84.0,Electronics,3,6793.83,3.1,42,20381.49
CUST1194,37,Male,Delhi,76231.0,38.5,Fashion,3,2101.12,1.7,18,6303.36
CUST1195,39,Male,Delhi,57427.0,42.4,Grocery,2,811.52,4.6,28,1623.04
CUST1196,24,Male,Indore,56217.0,51.8,Books,2,183.96,3.7,35,367.92
CUST1197,36,Male,Mumbai,59581.0,63.7,Grocery,2,599.09,4.2,22,1198.18
CUST1198,35,Female,Bengaluru,56108.0,72.7,Books,5,211.75,5.0,19,1058.75
CUST1199,21,Female,Mumbai,43216.0,34.1,Grocery,2,459.93,4.2,31,919.86
CUST1200,39,Female,Bengaluru,73637.0,48.7,Grocery,3,418.14,4.1,24,1254.42
CUST1201,41,Male,Jaipur,71076.0,53.8,Electronics,1,16586.89,3.9,31,16586.89
CUST1202,47,Male,Lucknow,67187.0,49.0,Sports,2,2095.68,2.9,28,4191.36
CUST1203,47,Female,Mumbai,106495.0,45.8,Fashion,5,896.94,3.7,38,4484.7
CUST1204,18,Male,Jaipur,55195.0,71.2,Books,1,568.78,5.0,31,568.78
CUST1205,23,Male,Indore,88382.0,60.7,Books,3,225.41,3.6,22,676.23
CUST1206,41,Male,Bengaluru,73331.0,45.2,Toys,1,912.93,3.8,34,912.93
CUST1207,41,Male,Lucknow,85602.0,56.2,Grocery,4,433.25,5.0,18,1733.0
CUST1208,41,Male,Delhi,76057.0,76.4,Beauty,3,777.53,2.5,8,2332.59
CUST1209,70,Male,Gwalior,62176.0,81.7,Sports,3,2446.98,4.5,0,7340.94
CUST1210,41,Female,Jaipur,70495.0,31.7,Electronics,3,14783.13,2.5,25,44349.39
CUST1211,48,Female,Mumbai,59096.0,56.0,Home & Kitchen,2,4267.71,4.3,27,8535.42
CUST1212,46,Female,Jaipur,80187.0,37.4,Electronics,3,11611.61,3.9,107,34834.83
CUST1213,42,Female,Jaipur,58690.0,69.6,Grocery,3,678.25,4.5,13,2034.75
CUST1214,31,Female,Gwalior,53289.0,77.5,Electronics,4,10072.53,3.0,15,40290.12
CUST1215,44,Female,Jaipur,68735.0,37.7,Electronics,4,12906.13,3.4,7,51624.52
CUST1216,25,Female,Mumbai,76875.0,47.5,Fashion,2,1788.29,4.5,2,3576.58
CUST1217,32,Male,Bengaluru,63041.0,21.0,Grocery,4,576.86,3.4,44,2307.44
CUST1218,29,Male,Pune,78593.0,70.9,Home & Kitchen,4,1215.06,4.6,9,4860.24
CUST1219,35,Male,Lucknow,71656.0,41.2,Electronics,5,13701.36,4.1,28,68506.8
CUST1220,62,Female,Gwalior,90239.0,36.6,Grocery,1,694.2,3.5,35,694.2
CUST1221,18,Female,Mumbai,48859.0,63.1,Electronics,2,9141.62,3.6,19,18283.24
CUST1222,43,Male,Pune,70172.0,72.3,Home & Kitchen,1,1495.61,3.9,63,1495.61
CUST1223,18,Female,Indore,13942.0,45.6,Home & Kitchen,2,4511.56,3.7,18,9023.12
CUST1224,29,Male,Pune,53404.0,64.8,Home & Kitchen,1,3043.08,4.6,10,3043.08
CUST1225,48,Female,Gwalior,83633.0,39.0,Beauty,3,821.2,3.6,68,2463.6
CUST1226,35,Male,Delhi,60089.0,51.6,Fashion,6,951.85,3.4,59,5711.1
CUST1227,22,Male,Mumbai,27506.0,100.0,Sports,1,1439.68,4.7,5,1439.68
CUST1228,26,Male,Indore,64308.0,40.4,Grocery,7,1010.26,3.5,1,7071.82
CUST1229,43,Male,Delhi,108118.0,35.2,Grocery,1,633.97,3.4,3,633.97
CUST1230,26,Male,Delhi,72537.0,56.2,Home & Kitchen,5,2005.83,1.7,10,10029.15
CUST1231,37,Male,Lucknow,60576.0,82.0,Electronics,3,14713.75,3.0,108,44141.25
CUST1232,35,Female,Gwalior,71675.0,38.4,Beauty,4,649.78,3.1,25,2599.12
CUST1233,27,Female,Lucknow,68332.0,39.9,Home & Kitchen,2,4556.83,3.4,14,9113.66
CUST1234,60,Male,Pune,53939.0,84.4,Fashion,5,2576.9,3.3,66,12884.5
CUST1235,42,Female,Jaipur,51760.0,74.0,Electronics,3,9957.01,4.8,18,29871.03
CUST1236,18,Female,Delhi,67475.0,26.0,Electronics,2,9331.9,3.2,11,18663.8
CUST1237,37,Male,Gwalior,57280.0,52.3,Books,1,140.36,3.3,85,140.36
CUST1238,27,Male,Indore,47085.0,77.1,Beauty,4,497.58,4.0,57,1990.32
CUST1239,45,Male,Jaipur,73231.0,64.3,Electronics,5,7022.5,2.9,56,35112.5
CUST1240,25,Male,Indore,77107.0,33.9,Fashion,3,1583.35,5.0,22,4750.05
CUST1241,33,Female,Gwalior,87150.0,1.0,Home & Kitchen,5,2194.16,4.6,47,10970.8
CUST1242,41,Male,Indore,96239.0,40.2,Sports,4,1167.67,,6,4670.68
CUST1243,45,Female,Indore,63699.0,34.9,Electronics,3,10723.54,4.8,26,32170.62
CUST1244,20,Female,Pune,66647.0,18.2,Fashion,6,1836.02,5.0,124,11016.12
CUST1245,30,Male,Indore,30937.0,32.1,Books,2,494.03,2.9,10,988.06
CUST1246,29,Female,Jaipur,87028.0,52.8,Electronics,3,5612.74,2.9,47,16838.22
CUST1247,27,Male,Bengaluru,38076.0,79.6,Fashion,3,1424.98,3.4,20,4274.94
CUST1248,56,Female,Gwalior,79300.0,40.3,Toys,2,460.02,2.6,1,920.04
CUST1249,39,Male,Mumbai,68529.0,78.0,Home & Kitchen,1,3585.8,3.2,43,3585.8
CUST1250,19,Female,Gwalior,35536.0,90.8,Fashion,4,2052.63,3.5,6,8210.52
CUST1251,46,Female,Mumbai,69550.0,81.2,Electronics,4,8378.73,4.4,30,33514.92
CUST1252,60,Male,Mumbai,71361.0,25.6,Electronics,4,8832.95,4.0,3,35331.8
CUST1253,47,Female,Gwalior,74603.0,47.5,Fashion,3,1247.27,3.8,88,3741.81
CUST1254,18,Female,Delhi,33083.0,52.2,Books,4,162.45,3.5,10,649.8
CUST1255,29,Female,Gwalior,69336.0,48.2,Grocery,4,686.3,2.7,8,2745.2
CUST1256,50,Female,Indore,65165.0,51.2,Beauty,1,806.95,4.4,4,806.95
CUST1257,26,Female,Lucknow,73550.0,60.2,Books,2,589.65,4.4,88,1179.3
CUST1258,40,Male,Gwalior,98462.0,29.8,Grocery,5,386.67,3.3,37,1933.35
CUST1259,44,Male,Lucknow,70604.0,62.5,Electronics,2,9367.61,2.9,41,18735.22
CUST1260,23,Female,Bengaluru,52459.0,78.5,Grocery,3,328.43,5.0,21,985.29
CUST1261,34,Male,Delhi,53919.0,100.0,Books,4,267.67,4.1,19,1070.68
CUST1262,18,Female,Gwalior,61571.0,52.9,Sports,2,1246.52,4.3,3,2493.04
CUST1263,22,Female,Bengaluru,50440.0,50.5,Electronics,2,17873.09,4.3,25,35746.18
CUST1264,31,Male,Indore,48718.0,73.2,Beauty,5,680.68,2.8,9,3403.4
CUST1265,20,Male,Pune,54256.0,49.9,Home & Kitchen,6,2627.31,5.0,113,15763.86
CUST1266,54,Female,Gwalior,63357.0,83.8,Books,2,343.49,3.5,48,686.98
CUST1267,18,Male,Gwalior,52814.0,60.4,Electronics,2,7221.92,4.6,16,14443.84
CUST1268,29,Female,Mumbai,66631.0,44.3,Home & Kitchen,6,2337.24,5.0,5,14023.44
CUST1269,36,Male,Delhi,54250.0,55.9,Books,1,508.32,4.0,46,508.32
CUST1270,52,Female,Delhi,62193.0,71.0,Grocery,3,370.12,2.8,4,1110.36
CUST1271,18,Male,Delhi,33499.0,78.2,Grocery,2,829.29,1.7,6,1658.58
CUST1272,48,Female,Indore,88957.0,25.1,Electronics,3,8542.2,3.9,7,25626.6
CUST1273,35,Male,Lucknow,85695.0,69.2,Fashion,3,1236.48,4.1,24,3709.44
CUST1274,23,Female,Mumbai,44438.0,56.8,Fashion,2,1854.73,3.4,46,3709.46
CUST1275,40,Male,Jaipur,69230.0,53.0,Toys,4,613.53,4.0,11,2454.12
CUST1276,37,Female,Delhi,33330.0,92.9,Fashion,4,1522.72,4.3,3,6090.88
CUST1277,27,Female,Mumbai,41263.0,45.4,Grocery,4,529.03,4.8,19,2116.12
CUST1278,35,Male,Delhi,59824.0,68.6,Beauty,2,947.8,3.7,41,1895.6
CUST1279,30,Male,Pune,42624.0,54.7,Electronics,1,4630.25,3.9,8,4630.25
CUST1280,36,Male,Lucknow,43677.0,87.7,Grocery,3,288.6,3.7,7,865.8
CUST1281,42,Female,Bengaluru,55345.0,46.2,Beauty,2,1151.45,3.9,88,2302.9
CUST1282,54,Female,Mumbai,102908.0,37.9,Books,5,605.67,3.4,92,3028.35
CUST1283,20,Female,Pune,64759.0,75.9,Home & Kitchen,5,1736.89,3.4,140,8684.45
CUST1284,60,Male,Gwalior,48901.0,84.2,Beauty,2,816.3,3.5,49,1632.6
CUST1285,18,Male,Jaipur,9742.0,100.0,Electronics,1,13501.41,4.0,6,13501.41
